METRICS PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: cumulative time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   List reduced from 962 to 1 due to restriction <'CounterFactualExplainer'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/CounterFactualExplainer.py:12(__init__)




plot_explainer_summary:
----------------------------------------
         1645824 function calls (1598299 primitive calls) in 2.390 seconds



__init__:
----------------------------------------
         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Random listing order was used
   List reduced from 962 to 99 due to restriction <'__init__'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
      455    0.001    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/_core/getlimits.py:698(__init__)
        2    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/lib/_version.py:54(__init__)
       70    0.000    0.000    0.000    0.000 /usr/lib/python3.12/pathlib.py:357(__init__)
      210    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
     3360    0.008    0.000    0.015    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
      526    0.002    0.000    0.004    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/_api/__init__.py:133(check_shape)
    56151    0.028    0.000    0.062    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/__init__.py:781(__getitem__)
      105    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:800(__init__)
      526    0.002    0.000    0.010    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/path.py:99(__init__)
     2555    0.018    0.000    0.036    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:179(__init__)
     1295    0.006    0.000    0.028    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:656(__init__)
       70    0.001    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backend_bases.py:1711(__init__)
       35    0.000    0.000    0.002    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backend_bases.py:2611(__init__)
      245    0.003    0.000    0.028    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:48(__init__)
      945    0.023    0.000    0.158    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/lines.py:301(__init__)
       35    0.001    0.000    0.005    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/figure.py:123(__init__)
       35    0.003    0.000    0.481    0.014 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:615(__init__)
       35    0.003    0.000    0.025    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/figure.py:2464(__init__)
      315    0.016    0.000    0.357    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:59(__init__)
       70    0.001    0.000    0.107    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:367(__init__)
      140    0.002    0.000    0.020    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/spines.py:35(__init__)
      245    0.005    0.000    0.465    0.002 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:428(__init__)
       70    0.002    0.000    0.025    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:612(__init__)
       35    0.029    0.001    0.032    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:63(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/CounterFactualExplainer.py:12(__init__)
       35    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/gridspec.py:313(__init__)
       35    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/gridspec.py:32(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/projections/__init__.py:110(get_projection_class)
       35    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/gridspec.py:736(__init__)
       35    0.000    0.000    0.021    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:2374(__init__)
       35    0.000    0.000    0.015    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:2598(__init__)
      140    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:494(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/gridspec.py:541(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/spines.py:552(__init__)
       35    0.000    0.000    0.001    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/layout_engine.py:145(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/layout_engine.py:125(__init__)
       70    0.000    0.000    0.002    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axes/_base.py:216(__init__)
       35    0.000    0.000    0.000    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/projections/__init__.py:81(get_projection_class)
       35    0.000    0.000    0.006    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/patches.py:3904(__init__)
